run_id,config,scenario,iter,variant,tp,fp,fn,tn,precision,recall,f1,fpr,n_windows,n_flagged,n_events
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,iforest_latency,0,2,2,14,0.0,0.0,0.0,0.125,16,2,2
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,iforest_availability,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,iforest_integrity,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,iforest_malformed,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,lof_multi,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,iforest_multi,0,2,2,14,0.0,0.0,0.0,0.125,16,2,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,iforest_latency,0,2,2,14,0.0,0.0,0.0,0.125,16,2,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,iforest_availability,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,iforest_integrity,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,iforest_malformed,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T173635-single-plc-mutate-i3,single-plc,mutate,3,lof_multi,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,iforest_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,iforest_latency,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174128-single-plc-mutate-i4,single-plc,mutate,4,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,iforest_multi,1,0,1,16,1.0,0.5,0.6667,0.0,17,1,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,iforest_latency,1,0,1,16,1.0,0.5,0.6667,0.0,17,1,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T174624-single-plc-mutate-i5,single-plc,mutate,5,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,iforest_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,iforest_latency,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175119-single-plc-mutate-i6,single-plc,mutate,6,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,iforest_multi,1,1,1,15,0.5,0.5,0.5,0.0625,17,2,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,iforest_latency,1,1,1,15,0.5,0.5,0.5,0.0625,17,2,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T175618-single-plc-mutate-i7,single-plc,mutate,7,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,iforest_multi,2,1,0,14,0.6667,1.0,0.8,0.0667,17,3,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,iforest_latency,2,1,0,14,0.6667,1.0,0.8,0.0667,17,3,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T180113-single-plc-mutate-i8,single-plc,mutate,8,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,iforest_multi,1,2,1,13,0.3333,0.5,0.4,0.1333,16,3,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,iforest_latency,1,2,1,13,0.3333,0.5,0.4,0.1333,16,3,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,iforest_availability,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,iforest_integrity,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,iforest_malformed,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T180608-single-plc-mutate-i9,single-plc,mutate,9,lof_multi,0,0,2,16,0.0,0.0,0.0,0.0,16,0,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,iforest_multi,1,0,1,16,1.0,0.5,0.6667,0.0,17,1,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,iforest_latency,1,0,1,16,1.0,0.5,0.6667,0.0,17,1,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T181102-single-plc-mutate-i10,single-plc,mutate,10,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,iforest_multi,2,6,5,26,0.25,0.2857,0.2667,0.1875,34,8,7
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,iforest_latency,2,9,5,23,0.1818,0.2857,0.2222,0.2812,34,11,7
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T185230-single-plc-replay-i1,single-plc,replay,1,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,iforest_multi,2,3,5,29,0.4,0.2857,0.3333,0.0938,34,5,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,iforest_latency,1,2,6,31,0.3333,0.1429,0.2,0.0606,34,3,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T185557-single-plc-replay-i2,single-plc,replay,2,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,iforest_multi,2,9,5,23,0.1818,0.2857,0.2222,0.2812,34,11,7
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,iforest_latency,1,8,6,25,0.1111,0.1429,0.125,0.2424,34,9,7
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
